image_id,question_id,topic,subtopic,template_id,difficulty_rank,svg_path,latex_source_path,semantic_render_type,asset_role,visual_spec_version,render_status
IMG-0001,EE-00001,DC Circuit Analysis,Ohm's law,DC-01,1,images/IMG-0001.svg,latex_sources/IMG-0001.tex,circuit_or_concept,instructional_hint,2.0,generated_and_structurally_validated
IMG-0002,EE-00022,DC Circuit Analysis,Series resistance,DC-02,1,images/IMG-0002.svg,latex_sources/IMG-0002.tex,governing_relation,instructional_hint,2.0,generated_and_structurally_validated
IMG-0003,EE-00043,DC Circuit Analysis,Parallel resistance,DC-03,1,images/IMG-0003.svg,latex_sources/IMG-0003.tex,governing_relation,instructional_hint,2.0,generated_and_structurally_validated
IMG-0004,EE-00064,DC Circuit Analysis,Voltage divider,DC-04,1,images/IMG-0004.svg,latex_sources/IMG-0004.tex,governing_relation,instructional_hint,2.0,generated_and_structurally_validated
IMG-0005,EE-00085,DC Circuit Analysis,Resistor power,DC-05,1,images/IMG-0005.svg,latex_sources/IMG-0005.tex,governing_relation,instructional_hint,2.0,generated_and_structurally_validated
IMG-0006,EE-00101,DC Circuit Analysis,Ohm's law,DC-01,1,images/IMG-0006.svg,latex_sources/IMG-0006.tex,circuit_or_concept,instructional_hint,2.0,generated_and_structurally_validated
IMG-0007,EE-00122,DC Circuit Analysis,Series resistance,DC-02,1,images/IMG-0007.svg,latex_sources/IMG-0007.tex,governing_relation,instructional_hint,2.0,generated_and_structurally_validated
IMG-0008,EE-00143,DC Circuit Analysis,Parallel resistance,DC-03,1,images/IMG-0008.svg,latex_sources/IMG-0008.tex,governing_relation,instructional_hint,2.0,generated_and_structurally_validated
IMG-0009,EE-00164,DC Circuit Analysis,Voltage divider,DC-04,1,images/IMG-0009.svg,latex_sources/IMG-0009.tex,governing_relation,instructional_hint,2.0,generated_and_structurally_validated
IMG-0010,EE-00185,DC Circuit Analysis,Resistor power,DC-05,1,images/IMG-0010.svg,latex_sources/IMG-0010.tex,governing_relation,instructional_hint,2.0,generated_and_structurally_validated
IMG-0011,EE-00201,DC Circuit Analysis,Ohm's law,DC-01,1,images/IMG-0011.svg,latex_sources/IMG-0011.tex,circuit_or_concept,instructional_hint,2.0,generated_and_structurally_validated
